id_matriz,id_plano,categoria,secao_plano,requirement_id,descricao_requisito,pergunta_teste,resultado_esperado,evidencia_esperada,guardrail_1_fonte,guardrail_2_nao_inventar,guardrail_3_sem_cobertura,guardrail_4_portugues_formal,origem_documental,status
MX-012,EVAL-01,Avaliacao,8. Testes de Avaliacao de Retrieval e Resposta,REQ-RAG-EVAL-001,Medir precisao de retrieval,N/A,Chunks essenciais presentes no Top-K,Precision@K observada no ciclo: 1.00 (5/5 casos prioritarios),SIM,SIM,NAO_APLICA,SIM,plano-teste-pipeline-rag.md,Executado-Aprovado
MX-013,EVAL-02,Avaliacao,8. Testes de Avaliacao de Retrieval e Resposta,REQ-RAG-EVAL-002,Medir cobertura de chunks criticos,N/A,Recuperacao correta em perguntas armadilha,Recall de chunks criticos observado: 1.00 (Platinum e carga perigosa cobertos),SIM,SIM,NAO_APLICA,SIM,plano-teste-pipeline-rag.md,Executado-Aprovado
MX-014,EVAL-03,Avaliacao,8. Testes de Avaliacao de Retrieval e Resposta,REQ-RAG-EVAL-003,Medir coerencia da resposta com fonte,N/A,Resposta aderente ao documento oficial,Rubrica v2 aplicada: media 3.0 nos 5 casos priorizados,SIM,SIM,NAO_APLICA,SIM,rubrica-avaliacao-v2-definitiva.md,Executado-Aprovado
MX-015,LLM-01,Geracao LLM,9. Testes de Geracao (LLM),REQ-RAG-LLM-001,Bloquear alucinacao de tier inexistente,Qual o SLA do cliente Platinum?,Informar inexistencia do tier e citar fonte,Resposta validada: sem alucinacao; cita SLA-2024 secao 1; guardrails 1-4 atendidos,SIM,SIM,SIM,SIM,SLA-2024-tabela-sla-clientes.md,Executado-Aprovado
MX-016,LLM-02,Geracao LLM,9. Testes de Geracao (LLM),REQ-RAG-LLM-002,Aplicar excecao critica de devolucao,Posso devolver carga perigosa?,Negar processo padrao e orientar Gestao de Riscos,Resposta validada: negacao no processo padrao conforme POL-001 secao 3.2,SIM,SIM,NAO_APLICA,SIM,POL-001-politica-devolucao.md,Executado-Aprovado
MX-017,LLM-03,Geracao LLM,9. Testes de Geracao (LLM),REQ-RAG-LLM-003,Responder multiplicador correto com versao,Qual o multiplicador para o Sudeste?,Informar 1.1 da v2 com fonte,Resposta validada: valor 1.1 e citacao PROC-042-v2 secao 2.1,SIM,SIM,NAO_APLICA,SIM,PROC-042-v2-frete-especial-revisado.md,Executado-Aprovado
MX-018,E2E-01,E2E,10. Teste Ponta a Ponta (E2E),REQ-RAG-E2E-001,Validar fluxo completo de devolucao,Pergunta de devolucao,Resposta correta com fonte e guardrails,Fluxo completo executado sem falhas,SIM,SIM,NAO_APLICA,SIM,plano-teste-pipeline-rag.md,Executado-Aprovado
MX-019,E2E-02,E2E,10. Teste Ponta a Ponta (E2E),REQ-RAG-E2E-002,Validar fluxo completo de frete especial,Pergunta de frete especial,Resposta com regra de calculo correta,Fluxo completo executado com citacao da PROC-042-v2 e regra correta,SIM,SIM,NAO_APLICA,SIM,plano-teste-pipeline-rag.md,Executado-Aprovado
MX-020,E2E-03,E2E,10. Teste Ponta a Ponta (E2E),REQ-RAG-E2E-003,Validar fluxo para pergunta sem cobertura,Pergunta sem cobertura formal,Declarar ausencia de cobertura,Fluxo completo executado com declaracao explicita de ausencia de regra formal,SIM,SIM,SIM,SIM,anexo-a-documentacao-simulada-novatech.md,Executado-Aprovado
MX-021,REG-01,Regressao,11. Testes de Regressao,REQ-RAG-REG-001,Evitar regressao no caso Platinum,Qual o SLA do cliente Platinum?,Continuar recusando tier inexistente,Comparativo executado: comportamento mantido sem regressao,SIM,SIM,SIM,SIM,SLA-2024-tabela-sla-clientes.md,Executado-Aprovado
MX-022,REG-02,Regressao,11. Testes de Regressao,REQ-RAG-REG-002,Evitar regressao em carga perigosa,Posso devolver carga perigosa?,Continuar negando no processo padrao,Comparativo executado: regra critica mantida sem regressao,SIM,SIM,NAO_APLICA,SIM,POL-001-politica-devolucao.md,Executado-Aprovado
MX-023,REG-03,Regressao,11. Testes de Regressao,REQ-RAG-REG-003,Evitar regressao em multiplicador v2,Qual o multiplicador para o Sudeste?,Continuar respondendo 1.1 v2 com fonte,Comparativo executado: resposta 1.1 v2 mantida com fonte correta,SIM,SIM,NAO_APLICA,SIM,PROC-042-v2-frete-especial-revisado.md,Executado-Aprovado
MX-024,RET-06,Retrieval,7. Testes de Retrieval,REQ-RAG-RET-006,Identificar ausencia de cobertura para frete padrao,Frete para 300kg para Salvador?,Nenhum chunk plenamente aderente - ausencia de cobertura,Retrieval retorna chunks sem aderencia ou vazio; assistente deve declarar ausencia,SIM,SIM,SIM,SIM,anexo-b-chunks-referencia-rag.md,Planejado
MX-025,RET-07,Retrieval,7. Testes de Retrieval,REQ-RAG-RET-007,Recuperar multiplicador Sudeste com distincao de versao,Qual o multiplicador do Sudeste?,PROC-042v2-B com distincao explicita de v1 (1.0) e v2 (1.1),Top-K obtido com PROC-042v2-B; diferenca v1 x v2 identificada,SIM,SIM,NAO_APLICA,SIM,anexo-b-chunks-referencia-rag.md,Planejado
MX-026,LLM-04,Geracao LLM,9. Testes de Geracao (LLM),REQ-RAG-LLM-004,Declarar ausencia de cobertura para frete padrao,Frete para 300kg?,Declarar ausencia de regra formal e orientar escalacao,Resposta declara ausencia de cobertura; sem invencao de tabela; guardrails 1-3-4 atendidos,SIM,SIM,SIM,SIM,anexo-a-documentacao-simulada-novatech.md,Planejado
MX-027,LLM-05,Geracao LLM,9. Testes de Geracao (LLM),REQ-RAG-LLM-005,Sinalizar base informal para carga perigosa com frete expresso,Carga perigosa pode ter frete expresso?,Informar que pratica consta apenas no FAQ informal e nao tem respaldo oficial,Resposta ressalva origem informal do FAQ; nao trata como regra oficial; guardrails atendidos,SIM,SIM,NAO_APLICA,SIM,FAQ-atendimento.md,Planejado
MX-028,CTX-01,Contexto,7. Casos de Contexto,REQ-RAG-CTX-001,Manter consistencia de regras criticas em sessao longa (context rot),Sessao com 8 a 12 perguntas mistas sobre SLA devolucao e frete,Regra de nao elegibilidade de carga perigosa e ausencia de Platinum mantidas ate ultima pergunta,Script multi-turno executado; regras criticas presentes na rodada final; sem inversao,SIM,SIM,NAO_APLICA,SIM,entregavel-qa-1.3-plano-testes-rag.md,Planejado
MX-029,CTX-02,Contexto,7. Casos de Contexto,REQ-RAG-CTX-002,Considerar chunk critico posicionado no meio do contexto (lost in the middle),Prompt com muitos chunks e regra critica no meio,Resposta ainda considera o chunk critico; sem inversao de regra por posicao,Suite de prompts com ordenacao variavel executada; chunk central recuperado na resposta,SIM,SIM,NAO_APLICA,SIM,entregavel-qa-1.3-plano-testes-rag.md,Planejado
MX-030,CTX-03,Contexto,7. Casos de Contexto,REQ-RAG-CTX-003,Priorizar documento oficial quando historico sugere informacao do FAQ (competicao de contexto),Historico sugere pratica do FAQ; chunk oficial diverge,Documento oficial prevalece; conflito sinalizado ao atendente,Resposta prioriza POL/PROC/SLA sobre FAQ; conflito mencionado explicitamente,SIM,SIM,NAO_APLICA,SIM,FAQ-atendimento.md; anexo-a-documentacao-simulada-novatech.md,Planejado
MX-031,REG-04,Regressao,11. Testes de Regressao,REQ-RAG-REG-004,Evitar regressao em frete padrao sem cobertura,Frete para 300kg?,Continuar declarando ausencia de cobertura formal,Comparativo executado: ausencia de cobertura mantida sem invencao de tabela,SIM,SIM,SIM,SIM,anexo-a-documentacao-simulada-novatech.md,Planejado
MX-032,REG-05,Regressao,11. Testes de Regressao,REQ-RAG-REG-005,Evitar regressao no conflito PROC-042 v1 x v2,Qual o multiplicador do Sudeste?,Continuar diferenciando v1 (1.0) de v2 (1.1) com criterio de vigencia,Comparativo executado: diferenciacao v1 x v2 mantida com fonte e criterio temporal,SIM,SIM,NAO_APLICA,SIM,PROC-042-frete-especial-v1.md; PROC-042-v2-frete-especial-revisado.md,Planejado
